title;price;type;country;color;alcohol;age;vol;raw;class
Вино Vila Regia, Sogrape Vinhos 0,75 л;690;вино;португалия;красное;;;0,75;;
Вино Саперави - Кончо 0,75 л;690;вино;грузия;красное;;;0,75;;
Вино Astrale Rosato 0,75 л;690;вино;италия;розовое;13,5;;0,75;;
Вино Astrale Bianco 0,75 л;690;вино;италия;белое;13;;0,75;;
Вино CAPE ELEPHANT Ruby Cabernet 0,75 л;697;вино;;красное;;;0,75;;
Вино Алазанская Долина Белое, Марани 0,75 л;699;вино;грузия;белое;;;0,75;;
Вино Усадьба Перовских Мерло и Каберне Совиньон 2014 0,75 л;810;вино;россия;красное;;;0,75;;
Вино Kumala Reserve Shiraz;730;вино;;красное;;;0,75;;
Вино Матраса – Старый Баку 1,5 л;735;вино;азербайджан;красное;11;;1,5;;
Вино Rose d’Anjou – Marquis de Goulaine 0,75 л;750;вино;франция;розовое;;;0,75;;
Вино Blanc Demi sec – Grande Reserve – Bordeaux – Kressmann 0,75 л;762;вино;франция;белое;;;0,75;;
Вино Chateau Bauvallon 0,75 л;774;вино;франция;красное;;;0,75;;
Вино Cellier des Dauphins Prestige 0,75 л;784;вино;франция;белое;;;0,75;;
Вино Cellier des Dauphins Prestige 0,75 л;784;вино;франция;красное;;;0,75;;
Вино Chocoholic Pinotage 0,75 л;784;вино;юар;красное;;;0,75;;
Вино Pinot Grigio – Cadis 0,75 л;727;вино;италия;белое;;;0,75;;
Вино Mtsvane Koncho & Co 0,75 л;790;вино;грузия;белое;;;0,75;;
Вино Saperavi Marani 0,75 л;812;вино;грузия;красное;;;0,75;;
Вино Алазанская долина Красное – Марани;812;вино;грузия;красное;;;0,75;;
Вино Villa Molino Soave Classico 2015 0,75 л;1097;вино;италия;белое;;;0,75;;
Вино Усадьба Перовских Шардоне Резерв 2015 0,75 л;825;вино;россия;белое;;;0,75;;
Вино Blanc Moelleux – Bordeaux – Jean de Saligny 0,75 л;837;вино;франция;белое;;;0,75;;
Вино Bordeaux – Chateau Haut Mirambet 0,75 л;1292;вино;франция;красное;;;0,75;;
Вино Malbec La Linda – Leoncio Arisu 0,75 л;840;вино;аргентина;красное;;;0,75;;
Вино Rosso di Montepulciano – Le Seianti 0,75 л;840;вино;италия;красное;;;0,75;;
Вино Secret Reserve Red Blend Santa Rita 0,75 л;1127;вино;чили;красное;;;0,75;;
Вино 2016 – Sauvignon Blanc – Joy 0,75 л;847;вино;франция;белое;;;0,75;;
Вино Rouge – Bordeaux – Fort Chevalier 0,75 л;1130;вино;франция;красное;;;0,75;;
Вино Primitivo Puglia – Villa Pampini 0,75 л;850;вино;италия;красное;;;0,75;;
Вино Airen – Sol de Agosto 1,5 л;850;вино;испания;белое;;;1,5;;
Вино Pinot Grigio Veneto – Villa Alberti 0,75 л;850;вино;италия;белое;;;0,75;;
Вино Bianco Veronese – Le Pietre – Aldegheri 0,75 л;945;вино;италия;белое;;;0,75;;
Вино Rosso Veronese – Le Pietre – Aldegheri 0,75 л;945;вино;италия;красное;;;0,75;;
Вино Tempranillo Garnacha – Sol de Agosto 1,5 л;850;вино;испания;красное;;;1,5;;
Вино Finka Flichman Malbec Roble 2014 0,75 л;881;вино;аргентина;красное;;;0,75;;
Вино Chardonnay – Tocornal – Cono Sur 1,5 л;890;вино;чили;белое;;;1,5;;
Вино Moscato Giallo – Mezzacorona 0,75 л;890;вино;италия;белое;;;0,75;;
Вино Riesling Trocken, Mosel, Abtei Himmerod 0,75 л;890;вино;германия;белое;;;0,75;;
Вино Mariscal – El Miracle 0,75 л;895;вино;испания;красное;;;0,75;;
Вино Mtsvane – Winiveria 0,75 л;890;вино;грузия;белое;;;0,75;;
Вино Цинандали – Челти 0,75 л;890;вино;грузия;белое;;;0,75;;
Вино Vicente Gandia Hoya de Cadenas Reserva Tempranillo 2012 0,75 л;896;вино;испания;красное;;;0,75;;
Вино Charles Yung et Fils Pont de Fort Bordeaux 2015 AOC 0,75 л;900;вино;франция;красное;;;0,75;;
Вино Charles Yung et Fils Pont de Fort Bordeaux AOC 2016 0,75 л;900;вино;франция;красное;;;0,75;;
Вино Vermentino Di Sardegna – Marco Zanatta 0,75 л;1314;вино;италия;белое;;;0,75;;
Вино Estate Collection Chardonnay Reserva – Viu Manent 0,75 л;910;вино;чили;белое;;;0,75;;
Вино Киндзмараули – Картули Вази 0,75 л;1428;вино;грузия;красное;;;0,75;;
Вино Cabernet Sauvignon Reserva – Seashore – Isla Negra 0,75 л;925;вино;чили;красное;13,5;;0,75;;
Вино Мцване – Киндзмараули Марани 0,75 л;930;вино;грузия;белое;;;0,75;;
Вино Antano Tempranillo – Garcia Carrion 0,75 л;895;вино;испания;красное;;;0,75;;
Вино Bardolino Classico – Villa Molino 0,75 л;1439;вино;италия;красное;;;0,75;;
Вино Cuma Organic Malbec 2016 0,75 л;951;вино;аргентина;красное;;;0,75;;
Вино Chateau de Champteloup Cabernet d’Anjou 0,75 л;957;вино;франция;розовое;;;0,75;;
Вино Petale de Rose – Chateau la Tour de l’Eveque 0,375 л;972;вино;франция;розовое;;;0,375;;
Вино Rosso La Segreta – Planeta 0,375 л;976;вино;италия;красное;;;0,375;;
Вино Chateau Des Trois Tours – Gericot 0,75 л;986;вино;франция;белое;;;0,75;;
Вино kindzmarauli – Chelti 0,75 л;990;вино;грузия;красное;;;0,75;;
Вино Malbec – Punto Final 0,75 л;990;вино;аргентина;красное;14;;0,75;;
Вино Bordeaux Superieu – Chateau de Beaulieu 0,75 л;1524;вино;франция;красное;;;0,75;;
Вино Classic Malbec – Alta Vista 0,75 л;1000;вино;аргентина;красное;;;0,75;;
Вино Marani Akhasheni;1008;вино;грузия;красное;;;0,75;;
Вино Nemea Reserve 2015 0,75 л;1008;вино;греция;красное;;;0,75;;
Вино Coffee Pinotage – Diemersfontein 0,75 л;1008;вино;;красное;;;0,75;;
Вино Усадьба Перовских Рислинг 0,75 л;1012;вино;россия;белое;;;0,75;;
Вино Touriga Nacional – Quinta do Casal Branco 0,75 л;1352;вино;португалия;красное;;;0,75;;
Вино Nero d’Avola – Cusumano 0,75 л;1050;вино;италия;красное;;;0,75;;
Вино Malbec Reserva – Kaiken 0,75 л;1057;вино;аргентина;красное;;;0,75;;
Вино Chateau Mukhrani Saperavi Supérieur 0,75 л;1062;вино;грузия;красное;;;0,75;;
Вино Mukuzani – Chelti 0,75 л;1090;вино;грузия;красное;;;0,75;;
Вино Estate Shiraz – Cranswick 0,75 л;1476;вино;австралия;красное;;;0,75;;
Вино Rosso Toscano – Poggiocaro 0,75 л;1476;вино;италия;красное;;;0,75;;
Вино Усадьба Перовских Каберне Совиньон Резерв 2014 0,75 л;1140;вино;россия;красное;;;0,75;;
Вино Donna Marzia Primitivo Salento – Conti Zecca 0,75 л;1140;вино;италия;красное;;;0,75;;
Вино I Frati Lugana – Ca dei Frati 0,375 л;1170;вино;италия;белое;;;0,375;;
Вино Corvina – Scaia 0,75 л;1699;вино;италия;красное;;;0,75;;
Вино Ramon Bilbao Crianza Rioja 0,75 л;1210;вино;испания;красное;;;0,75;;
Вино Syrah – Luma – Cellaro 0,75 л;1614;вино;италия;красное;;;0,75;;
Вино Chardonnay – Lackey – Kilikanoon 0,75 л;1615;вино;австралия;белое;;;0,75;;
Вино Chateau Mukhrani Kindzmarauli 0,75 л;1249;вино;грузия;красное;;;0,75;;
Вино Primitivo – Salento – Due Palme 0,75 л;1225;вино;италия;красное;;;0,75;;
Вино Rosso La Segreta – Planeta 0,75 л;1235;вино;италия;красное;;;0,75;;
Вино Tvishi – Marani 0,75 л;1272;вино;грузия;белое;;;0,75;;
Вино Matsu El Picaro 2015 0,75 л;1281;вино;испания;красное;;;0,75;;
Вино Sauvignon Blanc – Ned 0,75 л;1358;вино;новая зеландия;белое;13;;0,75;;
Вино Мукузани – Киндзмараули Марани 0,75 л;1310;вино;грузия;красное;;;0,75;;
Вино Teleda Old Vine 0,75 л;1320;вино;грузия;белое;;;0,75;;
Вино Red – Baron de Valls 3 л;1344;вино;испания;красное;;;3;;
Вино Каберне – 100 оттенков красного – Фанагория 0,75 л;1296;вино;россия;красное;;;0,75;;
Вино Хихви – Виниверия 0,75 л;1380;вино;грузия;белое;;;0,75;;
Вино Rouge – Parallele 45 – Paul Jaboulet Aine 0,75 л;1390;вино;франция;красное;;;0,75;;
Вино Care Tinto Roble, Garnacha Syrah 1,5 л;1390;вино;испания;красное;;;1,5;;
Вино Vermentino di Sardegna – Costamolino 0,75 л;1390;вино;италия;белое;;;0,75;;
Вино Riesling Reserve – Lucien Albrecht 0,75 л;1400;вино;франция;белое;;;0,75;;
Вино Rousori – Dolcetto d’Alba – Icardi 0,75 л;1575;вино;италия;красное;;;0,75;;
Вино Medoc Chateau le Bourdieu Cru Bourgeois 0,75 л;1456;вино;франция;красное;;;0,75;;
Вино Sauvignon Blanc - Marlborough - Kono 0,75 л;1973;вино;новая зеландия;белое;;;0,75;;
Вино Bernard Magrez Douce Vie Cotes de Provence AOC 0,75 л;1506;вино;франция;розовое;;;0,75;;
Вино Ophalum – Albarino – Paco & Lola 0,75 л;1598;вино;испания;белое;;;0,75;;
Вино Bourgogne Aligote – Jean Bouchard 0,75 л;2239;вино;франция;белое;;;0,75;;
Вино Gewurztraminer Reserve – Lucien Albrecht 0,75 л;1680;вино;франция;белое;;;0,75;;
Вино Оригинал – Киндзмараули Марани 0,75 л;1715;вино;грузия;красное;;;0,75;;
Вино Усадьба Перовских Мерло лимитированная серия 0,75 л;1730;вино;россия;красное;;;0,75;;
Вино Shiraz – Sarus – Cranswick 0,75 л;2348;вино;австралия;красное;;;0,75;;
Вино Reserva – Lealtanza 0,75 л;1782;вино;испания;красное;;;0,75;;
Вино Quinta Apolonia 0,75 л;1800;вино;испания;белое;;;0,75;;
Вино Le Grand Noir Malbec 3 л;1806;вино;франция;красное;;;3;;
Вино Lugana San Benedetto 2014 DOC 0,75 л;1840;вино;италия;белое;;;0,75;;
Вино Petale de Rose – Chateau la Tour de l’Eveque 0,75 л;1855;вино;франция;розовое;;;0,75;;
Вино Bourgogne Pinot Noir Comte de Lupe 0,75 л;1880;вино;франция;красное;12,5;;0,75;;
Вино Clos Lamothe Rouge 2013 0,75 л;2518;вино;франция;красное;;;0,75;;
Вино Capannino Toscana – Castello Del Terriccio 0,75 л;1915;вино;италия;красное;;;0,75;;
Вино Old Vine Zinfandel - Gnarly Head 0,75 л;1848;вино;сша;красное;;;0,75;;
Вино Gruner Veltliner – Kremstal – Stift Gottweig 0,75 л;2567;вино;австрия;белое;;;0,75;;
Вино Papale, Primitivo di Manduria 2016 0,75 л;1935;вино;италия;красное;;;0,75;;
Вино I Frati Lugana – Ca dei Frati 0,75 л;1980;вино;италия;белое;;;0,75;;
Вино Sancerre Blanc – Pascal Jolivet 0,375 л;2058;вино;франция;белое;;;0,375;;
Вино Cabernet Sauvignon – 19 Crimes 0,75 л;2076;вино;австралия;красное;;;0,75;;
Вино Chard – 19 Crimes 0,75 л;2076;вино;австралия;белое;;;0,75;;
Вино Uprising – 19 Crimes 0,75 л;2191;вино;австралия;красное;;;0,75;;
Вино Хванчкара Шато Мухрани 0,75 л;2270;вино;грузия;красное;;;0,75;;
Вино Cotes Rocheuses, Saint-Emilion Grand Cru AOC, 2011 0,75 л;2229;вино;франция;красное;;;0,75;;
Вино Chablis – Domaine Louis Moreau 0,7 л;2317;вино;франция;белое;;;0,7;;
